,precision,precision,precision,recall,recall,recall,f1,f1,f1
,mean,std,count,mean,std,count,mean,std,count
explanation_label,,,,,,,,,
correct,0.09375,0.24769922373183217,48,0.06699810606060606,0.2020922875115204,48,0.07414021164021163,0.21241391911403695,48
incomplete,0.07638888888888888,0.20327790586631977,48,0.05815972222222222,0.15512796501580503,48,0.060763888888888895,0.1591009605321036,48
incorrect,0.03819444444444444,0.16574063068175662,48,0.03819444444444444,0.16574063068175662,48,0.03819444444444444,0.16574063068175662,48
