,precision,precision,precision,recall,recall,recall,f1,f1,f1
,mean,std,count,mean,std,count,mean,std,count
label,,,,,,,,,
correct,0.3469979296066253,0.32409162734206776,46,0.3033126293995859,0.2806398935945535,46,0.2974206349206349,0.24533394743858022,46
incomplete,0.32681159420289857,0.2997628334317509,46,0.260351966873706,0.24905475997699156,46,0.27803814542944977,0.24586607773499133,46
incorrect,0.16666666666666669,0.3634539385288028,46,0.07608695652173914,0.16650555820304233,46,0.10307108350586612,0.22482337618670356,46
